视频标题：【BBC六分钟】如何成为一名音乐人？becoming a musician（手绘课件版+知识图）
平台：bilibili
原始链接：https://www.bilibili.com/video/BV19nwxzQEdw/?vd_source=c010ec3a11358871f587630413675faf
字幕语言：中文
字幕来源：browser-fallback

字幕内容：

[00:00] BBC六分钟英语
[01:54] 我会去茶壶和眨眼咖啡馆的作曲人圈子
[01:58] 就像放学后的周五夜晚
[02:01] 那里我可能是最年轻的人，足足大五十岁
[02:04] 但我还是会和一群老人围坐一圈
[02:07] 他们会演奏詹姆斯的歌曲
[02:08] 泰勒和卡罗尔
[02:10] 金和老鹰乐队以及大量七十年代音乐
[02:13] 我想这对我影响巨大
[02:16] 但我想大家都会照顾我
[02:18] 她年轻时的成长经历
[02:21] 贝利参加了作曲人圈子
[02:24] 这是为音乐创作爱好者举办的聚会
[02:28] 贝利回忆起与一群老人围坐
[02:31] "一群"是形容人群的非正式说法
[02:34] 圈子里的老人会演奏七十年代的音乐
[02:38] 贝利说他们收留了我
[02:41] 如果你收留某人
[02:43] 意味着保护或引导他们成长
[02:46] 让我们认识另一位音乐人
[02:48] 乔什
[02:50] 我第一次在吉他上学会完整歌曲
[02:53] 大约十三岁那会
[02:56] 我几乎立刻开始街头表演
[02:58] 当我能胜任时
[02:59] 乔什住在伦敦，是一名街头艺人
[03:02] 这意味着他在街头或公共场所演出
[03:05] 为了赚钱
[03:06] 街头表演是音乐人创收和接触更多观众的常见方式
[03:11] 正如乔什告诉BBC
[03:13] 英语学习节目
[03:14] 我的歌曲
[03:14] 我的家
[03:15] 这能帮助音乐人获得新机会
[03:19] 这成了我主要的收入来源
[03:21] 支撑我度过了过去十年
[03:24] 从那时起
[03:25] 这为我带来了各种机会
[03:28] 带来了所有演出机会
[03:30] 建立了所有人脉
[03:31] 所以我有很多收获
[03:33] 街头表演
[03:34] 乔什的主要收入来源
[03:36] 这是他的主要经济来源
[03:37] 尼尔
[03:38] 他说街头表演带来了所有演出和人脉
[03:42] 演出指音乐现场
[03:44] 这是一个非正式俚语
[03:46] 乔什说他很感谢街头表演
[03:49] 如果你欠某人或某物很多
[03:51] 你就会获得成功或幸福
[03:53] 因为那个个人因素
[03:56] 那你愿意听一听乔什的音乐吗尼尔
[03:59] 当然愿意啊
[04:01] 这是他的一段歌曲
[04:02] 那面墙那边
[04:04] 他在BBC表演过
[04:05] 英语学习节目
[04:06] 我的歌曲
[04:07] 我的家
[04:08] 音乐
[04:39] 哇
[04:40] 乔什挺厉害的
[04:41] 不是吗
[04:41] 我很想多听一些啊
[04:43] 你可以在我们网站上找到系列音乐人的表演
[04:47] BBC
[04:47] 英语学习.com
[04:49] 我们也会在本期下方留言中添加链接
[04:52] 好的
[04:53] 那你的问题呢
[04:55] 皮帕
[04:55] 是的
[04:56] 我问过
[04:57] 哪位歌手在英国榜单上夺冠次数最多
[05:01] 披头士乐队
[05:02] 艾德·希兰还是埃尔维斯·普雷斯利
[05:04] 你说是披头士乐队尼尔
[05:06] 但正确答案其实是
[05:08] 埃尔维斯·普雷斯利
[05:09] 他拥有两首冠军单曲
[05:11] 而披头士乐队确实很出色
[05:15] 没关系
[05:15] 我也很爱这位国王
[05:17] 好的
[05:18] 让我们回顾本期音乐单元学到的词汇
[05:21] 从开放麦之夜开始
[05:23] 任何人都可以唱歌或演奏音乐的活动
[05:27] 词曲作者
[05:28] 创作圈是音乐人交流的聚会
[05:32] 一群人指一群人的集合
[05:35] 短语'收留某人'
[05:37] 意为保护或引导
[05:38] 街头表演者是为赚钱在公共场所演出
[05:42] 而街头艺人是街头赚钱表演者
[05:46] 主要收入来源是主要经济来源
[05:50] 演出是音乐演唱会
[05:51] ‘对某人或某事感激不尽’的意思是获得成功或幸福
[05:57] 因为那个个人原因
[05:59] 再一次
[06:00] 我们的六分钟时间到了
[06:01] 你可以在我网站上找到我的歌曲
[06:04] BBC学习英语
[06:06] Com
[06:07] 观看歌曲并跟唱，学习更多词汇和歌词
[06:11] 我们很快再见
[06:13] 获取更多热门话题和实用词汇
[06:16] 现在再见
[06:17] 再见
[06:18] 来自BBC学习英语的六分钟英语
[06:22] Com
